band attencoef_syn attencoef_obs attencoef_err norm_residual
020  3.543075e-04  3.600480e-04  6.575436e-05  8.730200e-02
022  3.377784e-04  3.462615e-04  5.242983e-05  1.617993e-01
025  3.228680e-04  2.520394e-04  4.140688e-05 -1.710549e+00
029  3.066639e-04  3.355616e-04  3.448206e-05  8.380501e-01
033  2.846243e-04  2.564293e-04  2.904594e-05 -9.707048e-01
040  2.555307e-04  2.891247e-04  2.376734e-05  1.413452e+00
045  2.314220e-04  2.479263e-04  2.034558e-05  8.111984e-01
050  2.117472e-04  2.145338e-04  1.886733e-05  1.476940e-01
059  1.821552e-04  1.765930e-04  1.690100e-05 -3.291027e-01
067  1.572067e-04  1.413461e-04  1.577800e-05 -1.005235e+00
077  1.308409e-04  1.114143e-04  1.620701e-05 -1.198658e+00
091  1.073537e-04  1.342680e-04  1.514100e-05  1.777577e+00
100  9.549614e-05  8.318870e-05  1.673607e-05 -7.353842e-01
111  8.400297e-05  9.402949e-05  1.639239e-05  6.116572e-01
125  6.902964e-05  5.865917e-05  1.673514e-05 -6.196822e-01
143  5.807907e-05  7.275638e-05  1.889599e-05  7.767419e-01
